year,number_f1,number_f2,number_f3,number_m1,number_m2,number_m3,total_females_dept,total_males_dept,gender_proportion_dept,gender_proportion_1,gender_proportion_2,gender_proportion_3,department_size,attrition_f1,attrition_f2,attrition_f3,attrition_m1,attrition_m2,attrition_m3,total_attrition,hiring_f1,hiring_f2,hiring_f3,hiring_m1,hiring_m2,hiring_m3,total_hiring,excess_hires,promotion_f1,promotion_f2,promotion_f3,promotion_m1,promotion_m2,promotion_m3
0,3,3,2,11,12,43,8,66,0.1081081081,0.2142857143,0.2,0.0444444444,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,2,11,13,40,15,64,0.0985915493,0.1538461538,0.1875,0.0476190476,71,0,0,1,3,0,2,6,0,0,0,3,0,0,3,3,0,0,0,1,0,0
2,4,3,2,16,12,41,16,69,0.1153846154,0.2,0.2,0.0465116279,78,0,0,0,0,1,2,3,2,0,0,6,0,1,9,3,0,0,0,1,2,0
3,3,3,2,15,10,45,17,70,0.1025641026,0.1666666667,0.2307692308,0.0425531915,78,0,0,0,3,0,1,4,0,0,0,3,0,1,4,1,0,0,0,2,4,0
4,6,3,3,17,9,46,20,72,0.1428571429,0.2608695652,0.25,0.0612244898,84,0,0,0,0,0,2,2,2,1,0,4,1,0,8,4,0,0,0,1,4,0
5,6,2,4,18,10,45,24,73,0.1411764706,0.25,0.1666666667,0.0816326531,85,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,0,2,0,0,0,0
6,6,2,4,20,10,47,24,77,0.1348314607,0.2307692308,0.1666666667,0.0784313725,89,1,0,0,0,0,0,1,0,1,0,3,0,1,5,4,0,1,0,1,0,0
7,6,2,4,18,11,45,24,74,0.1395348837,0.25,0.1538461538,0.0816326531,86,0,0,1,0,2,3,6,0,0,0,2,0,1,3,2,1,0,0,1,1,0
8,3,3,5,16,12,42,23,70,0.1358024691,0.1578947368,0.2,0.1063829787,81,1,0,0,2,2,4,9,0,0,0,2,1,1,4,-2,2,0,0,2,0,0
9,5,4,5,13,13,43,25,69,0.1686746988,0.2777777778,0.2352941176,0.1041666667,83,0,0,0,3,0,2,5,2,1,0,2,1,1,7,-2,1,0,0,1,2,0
10,5,4,5,14,10,43,28,67,0.1728395062,0.2631578947,0.2857142857,0.1041666667,81,0,0,1,2,2,2,7,1,0,0,4,0,0,5,0,1,1,0,1,2,0
11,7,6,5,14,10,40,32,64,0.2195121951,0.3333333333,0.375,0.1111111111,82,0,0,0,2,1,4,7,3,1,0,2,2,0,8,1,1,0,0,0,0,0
12,8,6,5,17,15,38,37,70,0.2134831461,0.32,0.2857142857,0.1162790698,89,2,0,0,0,0,1,3,3,0,0,5,2,0,10,3,0,0,0,2,0,0
